G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
5.06078e-05,737.069,1.1925e-05,5.37606,3.5595,4.63205,0.00398472,0.0251034,1.70433,0.153702,0.121897
4.96611e-05,755.882,1.20736e-05,5.26776,3.5595,4.71654,0.00389194,0.0905496,1.39818,0.090141,0.0732308
4.96611e-05,755.882,1.19445e-05,5.25621,3.51777,4.50064,0.00400057,0.0518049,1.17978,0.0736763,0.0525991
5.157e-05,747.043,1.20611e-05,5.25765,3.51777,4.47224,0.00392261,0.00117122,1.42604,0.135066,0.154117
5.157e-05,756.562,1.21107e-05,5.25765,3.47581,4.47224,0.00382134,0.0333997,1.53493,0.138977,0.0764637
5.20457e-05,783.467,1.21107e-05,5.16979,3.47581,4.47224,0.00398552,0.0264055,1.6238,0.0899845,0.0563563
5.34431e-05,783.467,1.21107e-05,5.07933,3.77662,4.51666,0.00398717,0.00768807,1.20018,0.107218,0.122868
4.95503e-05,783.467,1.18376e-05,5.01897,3.73926,4.61896,0.00388311,0.124757,0.954776,0.11894,0.149028
5.00108e-05,783.467,1.19843e-05,5.04877,3.72936,4.61896,0.0039299,0.0334755,1.43389,0.0996792,0.054129
4.94584e-05,777.99,1.19843e-05,5.17423,3.72526,4.29211,0.00396461,0.0193584,1.86538,0.0817424,0.0976445
4.94412e-05,777.99,1.19843e-05,5.26545,3.70379,4.22715,0.00394797,0.0385633,2.12591,0.0784465,0.0502252
4.769e-05,777.99,1.18697e-05,5.35647,3.70379,4.22715,0.00406736,0.0287819,1.44977,0.144113,0.0614178
4.83459e-05,777.99,1.18955e-05,5.46912,3.70379,4.59244,0.00396749,0.000186995,1.61327,0.0927813,0.108126
4.92434e-05,774.423,1.1681e-05,5.46912,3.42491,4.68872,0.00427729,0.0509016,1.11523,0.141862,0.095404
4.97248e-05,774.423,1.1705e-05,5.46912,3.47655,4.73704,0.00408097,0.0165188,1.79403,0.0817278,0.118882
4.60962e-05,774.423,1.1705e-05,5.46912,3.6022,5.0834,0.00404684,0.0110516,1.57568,0.130327,0.10576
4.56896e-05,789.415,1.1705e-05,5.46912,3.7442,5.27576,0.00396259,0.000229414,2.29882,0.117464,0.0861077
4.62391e-05,789.415,1.14674e-05,5.46912,3.80225,5.2164,0.00389888,0.0102169,1.42746,0.0920014,0.137274
4.46971e-05,789.415,1.14674e-05,5.50861,3.61578,5.14314,0.00400433,0.0654134,1.62016,0.114489,0.0576873
4.44782e-05,782.135,1.14706e-05,5.50861,3.69591,5.14314,0.00397699,0.0242917,1.69522,0.141071,0.101772
4.55767e-05,782.135,1.17647e-05,5.36729,3.69129,5.53276,0.0040943,0.0626493,1.63563,0.0854521,0.0612999
4.55767e-05,782.665,1.199e-05,5.30514,3.93907,5.94147,0.00389294,0.052227,1.42261,0.124473,0.129758
4.69624e-05,762.692,1.199e-05,5.39407,3.84616,5.6772,0.0039259,0.0884869,1.31613,0.124022,0.0670625
4.84575e-05,762.692,1.17616e-05,5.40691,4.0112,6.19094,0.00366345,0.0261759,1.09435,0.101512,0.119505
5.02854e-05,762.692,1.17616e-05,5.41198,4.02312,6.42,0.00377397,0.00771914,0.858114,0.0540732,0.093749
